년도,사업명(위치),수거물량 계획(톤),수거물량 실적(톤),정화면적 계획(ha),정화면적 실적(ha),사업기간
2018,보령시 보령항,65.59,65.59,"3,212","3,212",6.25~9.22
2018,사천시 삼천포항,69.29,69.29,23,23,3.16~5.14
2018,포항시 포항항,67.75,67.75,"2,325","2,325",6.19~8.17
2018,창원시 마산항,51.72,51.72,400,400,6.29~8.27
2018,창원시 진해항,61.6,61.6,500,500,3.16~7.15
2018,서산시 대산항,47.27,47.24,"1,458","1,458",6.27~8.25
2018,서천군 장항항,88.43,88.43,200,200,3.16~7.20
2018,속초시 속초항,124.38,109.81,38,37.5,3.16~5.14
2018,거제시 장승포항,113.94,113.94,15,15,3.16~5.14
2018,제주시 한림항,115.82,115.82,31,30.8,6.19~8.17
2018,인천시 인천항,215.22,240.99,945,945,8.10~11.7
2018,태안군 태안항,39.31,39.31,430,430,8.10~10.8
2018,완도군 완도항,31.0,20.64,21,21,10.19~12.7
2018,제주시 제주항,108.21,108.3,31,31.1,8.10~11.7
2018,제주시 추자항,45.84,45.84,29.3,26.3,8.10~11.7
2018,제주시 서귀포항,176.3,174.96,16.8,16.8,10.18~12.26
2018,대흑산도항 주변해역(이월),169.0,221.74,51,51.85,19.2.19~'19.4.26
2018,성산포항(이월),170.0,149.75,6.8,6.8,19.2.19~'19.4.19
2018,하동마도 주변,23.0,30.98,340,340,10.19~12.7
2018,목포북항,106.0,155.89,13,12.94,11.16~12.31
2018,여수 소호동 주변 ,92.0,110.59,414,443,11.16~12.31
2018,신안군 가거도 주변,25.0,22.76,10,11.6,11.15~12.31
2018,신안군 홍도항,35.0,35.63,20,20.3,11.15~12.31
2018,여수 가막만 주변,247.07,247.9,100,108.39,10.19~12.7
2018,목포시 목포항,71.76,71.76,10,9.2,10.19~12.7
2018,강릉시 주문진항,47.83,47.83,25,25.79,10.19~12.7
2018,통영시 중화항,18.06,18.06,20,8,11.16~12.25
2018,고흥군 녹동신항,12.32,8.83,15,4.9,11.15~12.31
2018,연안 대청소 활성화지원,11.53,11.53,-,-,8.7~8.27
2018,먼바다 해양쓰레기 수거지원 ,56.67,56.67,-,-,7.30~11.30
2017,평택 당진항,60.0,60.54,730,730,6.23 ~ 9.10
2017,인천 시화호,77.0,77.45,650,650,6.21 ~ 12.3
2017,강릉 주문진항,75.0,114.43,26,26,7.10 ~ 9.7
2017,창원 마산만,65.0,58.82,203,203,6.19 ~ 8.17
2017,거제 고현항,52.0,80.12,457.8,457.8,6.27 ~ 8.25
2017,전남 광양항,94.0,105.97,1630,1630,7.3 ~ 9.10
2017,여수 가막만,223.87,234.72,109,109,9.14 ~ 12.2
2017,태안 안흥외항,317.5,456.29,53,53,3.10 ~ 5.18
2017,인천 무의도,40.2,65.09,20.2,20.2,1.31 ~ 3.16
2017,장흥 삼산방조제,128.0,165.26,520,520,"5,22 ~ 7.20"
2017,서천 서면,60.0,59.87,2468,2468,7.26 ~ 9.13
2017,"전북 방축도, 관리도",77.0,79.98,568,568,7.28 ~ 9.25
2017,영암 삼포리,93.0,115.31,205,205,7.26 ~ 12.31
2017,홍성 천수만,63.6,66.81,523.4,523.4,7.24 ~ 9.11
2017,보령 대천항,42.2,59.76,74.9,74.9,7.31 ~ 9.18
2017,경남 통영항,497.4,644.23,158.1,158.1,8.7 ~ 12.4
2017,부산남항,96.0,148.1,9,9,11.3 ~ 12.22
2017,통영 동호항,226.0,304.95,79,79,11.8 ~ 12.27
2017,전남 목포항,41.0,81.99,10,10,11.6 ~ 12.20
2017,해군 연평어장,17.35,17.35,-,-,7.31 ~ 8.22
2016,경남 통영항(강구안) ,243.0,475.82,10,10,7.11 ~ 9.23
2016,전남 가막만(국동항) ,437.9,357.1,124,124,7.15 ~ 9.12
2016,부산항 ,253.0,328.65,20.8,20.8,7.18 ~ 9.15
2016,경남 신수항 ,35.0,41.35,12,12,10.20 ~ 11.18
2016,경남 삼천포항 ,32.0,38.11,10,10,9.20 ~ 10.19
2016,경남 옥포항 ,30.0,40.49,96.5,96.5,7.11 ~ 9.08 
2016,충남 서천항 ,61.0,76.68,487.6,487.6,8.05 ~ 9.18
2016,충남 비인항 ,141.0,157.04,350.5,350.5,8.10 ~ 9.23
2016,부산시 감천항 ,117.0,193.14,57,57,11.17 ~ 12.31
2016,경남 통영 동호항 ,158.0,342.56,111.5,111.5,11.17 ~ 12.31
2016,경북 포항 양포항,79.0,131.84,55,55,11.24 ~ 12.31
2016,"전남 완도 넙도, 마안도",450.0,751.04,3.95,3.95,11.25 ~ 12.31
2016,해군 연평어장,21.29,21.29,-,-,7.25 ~ 8.27
2016,신안 대태이도 주변해역,60.0,63.84,600,600,8.24.~10.22.
2016,군산 (관리도 소야미도) 주변해역,33.0,38.59,35,35,8.12.~10.10.
2016,태안 북격렬비도 주변해역,15.4,16.02,4,4,8.12.~10.20.
2016,군산 비안도 주변해역,63.0,67.0,564.2,564.2,11.07.~12.28.
2016,고성 안장섬 주변해역,24.0,32.36,210,210,11.07.~12.21.
2016,군산 어청도 주변해역,108.8,128.26,40,40,11.08.~12.22.
2016,목포항 (모니터링),37.0,47.25,10,10,11.07.~12.21.
2015,영종도 불법어구 수거사업,41.0,70.92,1503,1503,04.14~06.12
2015,강릉 주문진항,60.0,131.06,29,29,09.07~11.05
2015,고흥 녹동구항,64.0,95.39,17,17,09.01~10.30
2015,제주 추자항,34.0,55.44,12,12,09.07~11.05
2015,여수 거문도항,43.0,25.2,16,16,09.04~11.02
2015,거제 구조라항,41.0,38.08,17,17,10.01~11.29
2015,전북 비응항,307.0,440.17,20.4,20.4,10.21~12.04
2015,전북 군산항,66.0,91.33,779,779,10.21~12.04
2015,경남 장승포항,49.0,118.51,23,23,10.26~12.09
2015,평택 당진항,44.0,9.78,208,62,10.21~12.24
2015,전남 송공항,30.0,34.8,124,124,10.21~12.04
2015,통영 형제도,85.0,115.8,36.5,36.5,11.23~12.27
2015,"군산 (무녀도, 선유도)",520.0,668.14,34.6,34.6,11.23~12.30
2015,독도 주변해역 분포 및 실태조사,4.29,4.29,1640,1640,06.03~08.31
2015,연안대청소 활성화(해군),21.5,21.5,-,-,07.25~08.27
2015,인천 선진포항(용기포항),12.0,13.71,3.8,3.8,10.26~12.09
2015,인천 장봉도갯벌,42.0,52.32,570,570,10.26~12.09
2015,경북 울릉항,21.0,29.07,33,33,10.26~12.09
2015,제주 서귀포항,64.0,222.12,15.8,15.8,10.26~12.09
2015,제주 제주항,61.0,74.12,9.2,9.2,10.26~12.09
2015,신안 우이도항,94.0,125.52,190,190,11.16~12.31
2015,신안 전장포항,110.0,184.03,8,8,11.16~12.31
2014,포항시 양포항,72.0,111.88,55,55,10.28~12.16
2014,보성벌교갯벌,43.0,58.52,98,98,10.28~12.16
2014,궁평항,25.0,25.98,160.5,160.5,12.08~‘15.01.26
2014,대천항,59.0,79.49,34.5,34.5,12.08~‘15.02.05
2014,삼천포항,48.7,53.33,166.1,166.1,12.08~‘15.01.26
2014,구룡포항,17.1,17.5,8.1,8.1,12.08~‘15.01.26
2014,통영항,106.4,113.32,69.8,59.9,12.08~‘15.01.26
2014,목포항,201.0,211.0,10,10,12.08~‘15.04.06
2014,속초항,21.5,25.44,26.3,26.3,12.08~‘15.01.26
2014,여수항,30.0,57.83,6,6,12.08~‘15.02.05
2014,포항항,136.0,146.65,2242,2242,12.08~‘15.02.05
2014,연안대청소 활성화(해경),129.89,129.89,-,-,9월
2014,여수 개도,34.0,37.74,133,133,12.29~‘15.02.26
2014,신안 대흑산도,171.0,249.63,122.7,122.7,12.29~‘15.02.26
2014,신안 홍도,25.0,30.72,200,200,12.29~‘15.02.26
2014,제주 한림항,172.0,202.87,30.61,30.61,‘15.02.23~04.23
2014,제주 성산항,24.0,38.44,38.7,38.7,‘15.01.26~03.26
2014,여수 소호동,55.0,67.56,145.1,145.1,‘15.01.26~03.26
2014,고성 맥전포항,45.0,48.86,11.5,11.5,‘15.01.26~03.26
2012,영덕군 강구항,114.0,181.4,13.7,13.7,5.11~7.9
2012,포항시 포항구항,155.0,229.1,20.6,20.6,5.11~7.9
2012,제주시 제주항,115.0,172.1,34.4,34.4,5.9~7.19
2012,제주시 서귀포항,118.0,199.1,13.9,13.9,5.9~7.19
2012,신안군 홍도~흑산도해역,40.0,57.6,2700,2700,5.28~8.25
2012,통영시 구돌서~좌사리도해역,41.0,46.0,612,612,6.4~8.2
2012,부산광역시 북항·굴항,252.0,301.2,70,70,11.1~12.30
2012,울산광역시 온산항,122.0,23.9,29,29,11.1~12.30
2012,고성군 맥전포항,69.0,83.0,20,20,11.1~12.30
2012,거제시 구조라항,177.0,170.4,16.5,16.5,11.1~12.30
2012,울산항 해상표류물,489.0,166.2,,,12.14~13.2.12
2012,연안대청소 활성화(해군),34.3,34.3,,,7.25~8.25
2012,연안대청소 활성화(해경),917.0,917.0,,,5.8~7.30
2012,삼척시 삼척항,92.0,325.5,7.5,7.5,5.25~8.13
2012,평택 당진항,67.0,90.0,2600,2600,6.18~8.16
2012,인천시 경인항,38.0,43.8,1000,1000,6.15~7.23
2012,사천시 삼천포구항,57.0,266.9,17,17,6.13~8.10
2012,보령시 대천항,150.0,205.7,56.2,56.2,11.26~13.2.4
2012,"창원시 광암, 원전항",239.0,145.5,25,25,11.26~13.2.4
2012,제주시 추자항,55.0,120.6,12.1,12.1,11.26~13.2.4
2012,여수시 거문도항,41.9,105.2,16.7,16.7,11.26~13.2.14
2012,신안군 대흑산도항,75.9,191.0,69,69,11.26~13.1.24
2012,고흥군 녹동신항,61.6,82.0,58.2,58.2,11.26~13.1.15
2012,서산시 대산항,71.1,84.5,153,153,11.26~13.1.24
2011,목포시 평화광장,226.0,254.67,283,283,7.20~11.16
2011,통영시 북여도~홍도,121.0,112.75,8875,8875,8.2~9.30
2011,울산시 온산항,97.1,130.77,26.5,26.5,8.2~10.30
2011,거제시 장승포항,94.85,83.98,24,24,8.2~10.20
2011,목포항 대불부두,219.0,240.14,363,363,7.19~11.15
2011,속초시 속초항,428.0,591.78,61.46,61.46,8.2~11.29
2011,연평도 해군지원,43.45,43.45,-,-,7.21~8.24
2011,해경지원,865.0,865.0,-,-,5.31 ~ 9.2
2011,창원시 마산항,66.7,83.33,576,576,12.6~1.18
2011,부산시 감천항,138.0,178.53,127.2,127.2,12.6~2.2
2011,해수욕장 쓰레기 수거,416.2,416.2,-,-,9.1~12.16
2011,재해쓰레기 처리,2770.82,2770.82,-,-,12.27~4.16
2011,장흥군 삼산방조제,149.0,157.46,700,700,8.8~10.6
2011,신안군 삼태도~만재도,67.0,100.2,20000,20000,8.12~10.24
2011,"고흥군꼭두여,애도~염포",104.0,116.4,9600,9600,8.8~10.8
2011,통영시 매물도 동쪽어장,79.0,98.52,14400,14400,8.17~10.31
2011,군산시 비응항,552.36,137.91,21.15,19.15,8.12~12.28
2011,인천시 영종도 인근해역,126.0,144.12,5038,5038,8.8~11.10
2011,완도군 완도항,481.0,289.28,89.6,89.6,8.8~12.9
2011,여수구항,127.0,201.8,48.5,48.5,12.12~12.3.2
2011,진해항,388.9,478.67,357.5,357.5,12.12~12.3.5
2010,통영 국도 고담,52.0,67.68,1000,1000,7.28~9.25
2010,"보령 원산도, 태안 내파수도",76.0,85.01,2500,2500,8.6~10.4
2010,경주 감포항,75.0,57.04,5600,5600,8.20~10.18
2010,군산 고군산,304.0,384.74,3700,3700,8.24~11.21
2010,순천 순천만,54.0,56.54,445,445,9.6~11.23
2010,울산시 울산항,144.21,196.37,35,35,10.2~1.2.28
2010,창원시 마산항,184.0,127.98,17.5,17.5,10.22~11.2.22
2010,부산시 감천항,233.0,254.81,16.5,16.5,10.22~11.2.22
2010,부산시 감천항(A),469.0,451.0,38.5,38.5,11.30~11.3.29
2010,사천시 삼천포항,114.0,125.37,14,14,12.21~11.3.21
2010,연평도 해군지원,23.13,23.13,,,7.22~8.21
2010,신안 가거도,193.0,65.8,41000,41000,6.7~9.9
2010,독도 ,1.34,1.34,12000,12000,7.21~12.3
2010,통영 동호항 ,4777.8,4892.12,23,23,10.7~12.16
2011,구룡포항,108.0,506.36,32.5,32.5,2.17~3.31.
2009,거제 옥포항,80.0,87.85,5,5,3.30~5.19
2009,삼척 신남기짬,82.0,85.59,575,725,5.18~6.29
2009,완도 보길도,86.0,95.22,500,500,6.10~8.20
2009,옹진 자월도,91.0,136.0,1500,1590,8.6~9.24
2009,고성 북방어장,456.0,453.87,1945,1945,6.22~9.18
2009,부안 형제도,83.0,85.56,1300,1310,7.27~9.12
2009,부산 녹산지선,49.0,53.63,184,184,11.17~12.19
2009,진해 진해항,124.0,139.29,79,79,11.20~12.29
2009,보령수도,197.0,253.42,8000,21000,11.12~12.31
2009,군산 무녀도리,455.0,552.95,183,183,11.12~10.1.6
2009,포항 양포항,120.0,137.9,46,45,11.20~12.28
2009,연평도 해군지원,29.78,29.78,,,7.21~8.21
2009,해안가쓰레기,6515.3,6560.7,,,4.15~11.30
2009,해경지원(3차),61.3,61.3,,,"3.26,9.18,11.12"
2009,충남 태안해역,44.9,49.49,3250,3250,2.14~4.13
2009,독도해역,1.89,1.89,12000,12000,6.1~9.14
2009,서천습지 ,690.8,717.86,6300,6300,8.13~11.20
2009,목포 목포항,2500.0,2567.3,54,54,5.28~8.11
2009,안산 북동어장,106.0,135.81,2500,2500,11.13~10.8.2
2009,부산 광안리,174.22,174.22,1004,1004,11.13~12.28
2009,태안 안흥항,144.0,207.89,70,70,11.13~12.28
2009,평택당진항,40.0,113.89,20,20,11.16~12.15
2009,부산 형제도,87.0,87.37,7000,7000,6.1~8.26
2009,삼천포항,187.0,228.37,25,25,12.14~10.1.22
